County,Area_name,Area_ID,Area_name_coord,Area_name_with_coord_or_not,Area_range,Area_plot_method,Ban,Ban_period,Publish_law,Transgress_law,Fishery_type,Conservation_type,Conservation_level
台東縣,大哥隧道-北向入口(C1)起至大白沙潛水步道(C3)間，由C1至C2連線以南，C3至C4連線以北，自平均高潮線向外海延伸至相對於平均低潮線向外海延伸約500公尺沿岸水域,47,"龜灣分區：
C1：N22°38'33.5”；E121°29'17.8”
C2：N22°38'18.9”；E121°29'06.2”
C3：N22°38'21.5”；E121°29'34.8”
C4：N22°38'13.7”；E121°29'16.2”",Yes,n/a,AB以南，CD以北,"1.保育對象：燕魚、硨磲貝、體長未滿20公分之龍蝦及殼長未滿5公分之九孔。
2.於本保育區內禁止使用任何方式採捕或危害保育對象，基於學術研究目的或其他必要事項，經本府許可者，不在此限。
3.於本保育區內禁止攜帶水肺採捕各分區之非保育對象。
4.於本保育區內從事各項觀光、遊憩、漁撈活動或進行開發等，不得有破壞海洋生物棲地環境之行為。",全年,漁業法第44條第4、7、9款及第45條,漁業法第65條第5款或第10條,所有漁具漁法,特定生物、漁業資源保育區,多功能使用區、完全禁漁區
台東縣,本縣綠島全島沿岸潮間帶及自平均低潮線向外海延伸200公尺扣除柴口、石朗及龜灣分區之沿岸水域,48,n/a,n/a,200,n/a,"1.於本保育區內禁止使用任何方式採捕或危害保育對象，基於學術研究目的或其他必要事項，經本府許可者，不在此限。
2.於本保育區內禁止攜帶水肺採捕各分區之非保育對象。
3.於本保育區內從事各項觀光、遊憩、漁撈活動或進行開發等，不得有破壞海洋生物棲地環境之行為。",全年,漁業法第44條第4、7、9款及第45條,漁業法第65條第5款或第10條,所有漁具漁法,特定生物、漁業資源保育區,多功能使用區、完全禁漁區
台東縣,北起A點南至E點之沿岸平均高潮線向外海延伸約500公尺，與B、D、F三點所圍成之海域；另以C、D點為分界，北為永續使用區，南為核心區,49,"A點N22°50'46.6”；E121°11'20.9”
B點N22°50'45.6”；E121°11'38.5”
C點N22°50'18.9”；E121°11'18.5”
D點N22°50'17.1”；E121°11'36.0”
E點N22°50'02.8”；E121°11'08.4”
F點N22°49'58.4”；E121°11'25.5”",Yes,n/a,n/a,"1.於本保育區內從事各項觀光、遊憩等活動，不得有以石塊擲魚、捉魚離水或其他危害海洋生物之行為，亦不得有將廢棄物拋入海中、騎乘水上摩托車或其他破壞海洋生物棲地環境之行為。
2.於本保育區內餵食海洋生物應遵照管理單位、志工或本府認證合格之解說人員之管制，不得任意為之。
3.核心區除為試驗研究目的，並經本府許可外，不得以任何方式採捕各類水產動植物。
4.永續使用區除為試驗研究目的及其他必要事項，並經本府許可外，不得以任何方式採捕各類水產動植物。",全年,漁業法第44條第1項第4、9款及第45條,漁業法第65條第6款,所有漁具漁法,漁業資源保育區,完全禁漁區
台南市,安平(一)人工魚礁禁漁區,50,22°55'00''N;120°06'52''E,Yes,1000,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑1000公尺範圍以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,人工魚礁,多功能使用區
台南市,安平(二)人工魚礁禁漁區,51,22°55'00''N;120°05'24''E,Yes,1000,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑1000公尺範圍以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,人工魚礁,多功能使用區
台南市,安平(三)人工魚礁禁漁區,52,22°54'00''N;120°06'30''E,Yes,1000,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑1000公尺範圍以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,人工魚礁,多功能使用區
台南市,安平(五)人工魚礁禁漁區,53,22°56'54''N;120°03'54''E,Yes,1000,半徑,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以中心位置經緯度為中心，半徑1000公尺範圍以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,人工魚礁,多功能使用區
台南市,喜樹保護礁禁漁區,54,"A點22°56'00''N;120°07'00''E。
B點22°56'24''N;120°09'24''E。",Yes,500,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以A、B兩點所連成標示直線周圍500公尺以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,保護礁,多功能使用區
台南市,鹽水溪口保護礁禁漁區,55,"A點22°58'48''N;120°05'24''E。
B點22°59'48''N;120°07'12''E。",Yes,500,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以A、B兩點所連成標示直線周圍500公尺以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,保護礁,多功能使用區
台南市,鹿耳門溪口保護礁禁漁區,56,"A點22°59'48''N;120°04'36''E。
B點23°00'36''N;120°06'12''E。",Yes,500,AB線左右,"1.凡使用網具類漁具之漁船均不得進入禁漁區範圍內作業。
2.如須於禁漁區內投放或除去水產動植物繁殖上所需之保護物，如人工魚礁、船礁或保護礁等人工設施，需經本府書面同意後，始可為之。
3.以A、B兩點所連成標示直線周圍500公尺以內水域均屬之。",全年,"漁業法第44條
第4、7款","漁業法第65條
第1項第5款及第10條",n/a,保護礁,多功能使用區
